Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2019,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,35-39 anys,196
2019,6,Gràcia,29,el Coll,Dona,Estrangera,35-39 anys,91
2019,6,Gràcia,30,la Salut,Dona,Estrangera,35-39 anys,177
2019,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,35-39 anys,970
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,35-39 anys,490
2019,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,35-39 anys,297
2019,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,35-39 anys,106
2019,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,35-39 anys,469
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,35-39 anys,48
2019,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,35-39 anys,366
2019,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,35-39 anys,138
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,35-39 anys,78
2019,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,35-39 anys,48
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,35-39 anys,44
2019,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,35-39 anys,9
2019,7,Horta-Guinardó,43,Horta,Dona,Estrangera,35-39 anys,285
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,35-39 anys,273
2019,8,Nou Barris,45,Porta,Dona,Estrangera,35-39 anys,379
2019,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,35-39 anys,282
2019,8,Nou Barris,47,Can Peguera,Dona,Estrangera,35-39 anys,16
2019,8,Nou Barris,48,la Guineueta,Dona,Estrangera,35-39 anys,104
2019,8,Nou Barris,49,Canyelles,Dona,Estrangera,35-39 anys,33
2019,8,Nou Barris,50,les Roquetes,Dona,Estrangera,35-39 anys,274
2019,8,Nou Barris,51,Verdun,Dona,Estrangera,35-39 anys,195
2019,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,35-39 anys,323
2019,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,35-39 anys,124
2019,8,Nou Barris,54,Torre Baró,Dona,Estrangera,35-39 anys,37
2019,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,35-39 anys,206
2019,8,Nou Barris,56,Vallbona,Dona,Estrangera,35-39 anys,9
2019,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,35-39 anys,185
2019,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,35-39 anys,21
2019,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,35-39 anys,134
2019,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,35-39 anys,380
2019,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,35-39 anys,335
2019,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,35-39 anys,161
2019,9,Sant Andreu,63,Navas,Dona,Estrangera,35-39 anys,231
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,35-39 anys,595
2019,10,Sant Martí,65,el Clot,Dona,Estrangera,35-39 anys,320
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,35-39 anys,260
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,35-39 anys,143
2019,10,Sant Martí,68,el Poblenou,Dona,Estrangera,35-39 anys,568
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,35-39 anys,224
2019,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,35-39 anys,417
2019,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,35-39 anys,275
2019,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,35-39 anys,220
2019,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,35-39 anys,260
2019,1,Ciutat Vella,1,el Raval,Dona,Estrangera,40-44 anys,914
2019,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,40-44 anys,313
2019,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,40-44 anys,220
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,40-44 anys,432
2019,2,Eixample,5,el Fort Pienc,Dona,Estrangera,40-44 anys,444
2019,2,Eixample,6,la Sagrada Família,Dona,Estrangera,40-44 anys,512
2019,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,40-44 anys,501
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,40-44 anys,422
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,40-44 anys,546
2019,2,Eixample,10,Sant Antoni,Dona,Estrangera,40-44 anys,460
2019,3,Sants-Montjuïc,11,el Poble Sec,Dona,Estrangera,40-44 anys,656
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,Estrangera,40-44 anys,7
2019,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,40-44 anys,299
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,40-44 anys,85
2019,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,40-44 anys,183
2019,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,40-44 anys,146
2019,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,40-44 anys,227
2019,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,40-44 anys,389
2019,4,Les Corts,19,les Corts,Dona,Estrangera,40-44 anys,294
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,40-44 anys,157
2019,4,Les Corts,21,Pedralbes,Dona,Estrangera,40-44 anys,150
